"Full Image Title","Date","Onsite Image URL","Object Page URL","Shortened Title with Date"
"Landscape with Diana and Actaeon",1591,"../img/scale/brueghel/3312.jpg","/janbrueghel/landscape-with-diana-and-actaeon","Landscape with Diana and Actaeon"
"Rocky Coastal Inlet with Battle Ship",1592,"../img/scale/brueghel/3518.jpg","/janbrueghel/rocky-coastal-inlet-with-battle-ship","Rocky Coastal Inlet with Battle Ship"
"Seascape with Rocks",1592,"../img/scale/brueghel/3545.jpg","/janbrueghel/seascape-with-rocks","Seascape with Rocks"
"Ancient Ruins",1593,"../img/scale/brueghel/2945.jpg","/janbrueghel/ancient-ruins","Ancient Ruins"
"Christ in Limbo (Riggisberg)",1593,"../img/scale/brueghel/3030.jpg","/janbrueghel/christ-in-limbo-riggisberg","Christ in Limbo (Riggisberg)"
"Forest with Hunting Scene",1593,"../img/scale/brueghel/3229.jpg","/janbrueghel/forest-with-hunting-scene","Forest with Hunting Scene"
"Interior Forest with Hunting Scene",1593,"../img/scale/brueghel/3288.jpg","/janbrueghel/interior-forest-with-hunting-scene","Interior Forest with Hunting Scene"
"St. Peter Celestine",1593,"../img/scale/brueghel/3570.jpg","/janbrueghel/st-peter-celestine","St. Peter Celestine"
"View of Waterfalls in Tivoli",1593,"../img/scale/brueghel/3700.jpg","/janbrueghel/view-of-waterfalls-in-tivoli","View of Waterfalls in Tivoli"
"Vision of St. John on Patmos (Rome)",1593,"../img/scale/brueghel/3744.jpg","/janbrueghel/vision-of-st-john-on-patmos-rome","Vision of St. John on Patmos (Rome)"
"Ancient Ruins (Berlin)",1593,"../img/scale/brueghel/9611.jpg","/janbrueghel/ancient-ruins-berlin","Ancient Ruins (Berlin)"
"Adoration of the Magi (Rome)",1594,"../img/scale/brueghel/2881.jpg","/janbrueghel/adoration-of-the-magi-rome","Adoration of the Magi (Rome)"
"The Arch of Septimus Severus Seen from the West",1594,"../img/scale/brueghel/2949.jpg","/janbrueghel/the-arch-of-septimus-severus-seen-from-the-west","The Arch of Septimus Severus Seen from the West"
"Christ in Limbo (Rome)",1594,"../img/scale/brueghel/3031.jpg","/janbrueghel/christ-in-limbo-rome","Christ in Limbo (Rome)"
"The Clivus Scauri in Rome",1594,"../img/scale/brueghel/3037.jpg","/janbrueghel/the-clivus-scauri-in-rome","The Clivus Scauri in Rome"
"Country Road: Allegory of Autumn",1594,"../img/scale/brueghel/3048.jpg","/janbrueghel/country-road-allegory-of-autumn","Country Road: Allegory of Autumn"
"Orpheus Sings for Pluto and Proserpina (London)",1594,"../img/scale/brueghel/3400.jpg","/janbrueghel/orpheus-sings-for-pluto-and-proserpina-london","Orpheus Sings for Pluto and Proserpina (London)"
"Orpheus Sings for Pluto and Proserpina (Rome)",1594,"../img/scale/brueghel/3402.jpg","/janbrueghel/orpheus-sings-for-pluto-and-proserpina-rome","Orpheus Sings for Pluto and Proserpina (Rome)"
"Paradise Landscape with God Telling Adam to Name the Animals (Rome, Galleria Doria Pamphili)",1594,"../img/scale/brueghel/3422.jpg","/janbrueghel/paradise-landscape-with-god-telling-adam-to-name-the-animals-rome-galleria-doria-pamphili","Paradise Landscape with God Telling Adam to Name the Animals (Rome, Galleria Doria Pamphili)"
"Return from the Hunt",1594,"../img/scale/brueghel/3463.jpg","/janbrueghel/return-from-the-hunt","Return from the Hunt"
"Return of Hawking Party",1594,"../img/scale/brueghel/3464.jpg","/janbrueghel/return-of-hawking-party","Return of Hawking Party"
"River Landscape with Noble Party in Boat: Allegory of Spring",1594,"../img/scale/brueghel/3487.jpg","/janbrueghel/river-landscape-with-noble-party-in-boat-allegory-of-spring","River Landscape with Noble Party in Boat: Allegory of Spring"
"Temptation of St. Anthony (New Haven)",1594,"../img/scale/brueghel/3605.jpg","/janbrueghel/temptation-of-st-anthony-new-haven","Temptation of St. Anthony (New Haven)"
"View in Rome with S. Maria in Cosmedin, the Round Temple, and the So-Called Temple of Fortuna Virilis",1594,"../img/scale/brueghel/3690.jpg","/janbrueghel/view-in-rome-with-s-maria-in-cosmedin-the-round-temple-and-the-so-called-temple-of-fortuna","View in Rome with S. Maria in Cosmedin, the Round Temple, and the So-Called Temple of Fortuna Virilis"
"Orpheus Sings for Pluto and Proserpina",1594,"../img/scale/brueghel/3838.jpg","/janbrueghel/orpheus-sings-for-pluto-and-proserpina","Orpheus Sings for Pluto and Proserpina"
"View over a Broad River Valley with Gypsies",1594,"../img/scale/brueghel/3866.jpg","/janbrueghel/view-over-a-broad-river-valley-with-gypsies","View over a Broad River Valley with Gypsies"
"View of the Temples of Venus and of Diana in Baia from the South",1594,"../img/scale/brueghel/9746.jpg","/janbrueghel/view-of-the-temples-of-venus-and-of-diana-in-baia-from-the-south","View of the Temples of Venus and of Diana in Baia from the South"
"Choir of Musical Angels",1595,"../img/scale/brueghel/3024.jpg","/janbrueghel/choir-of-musical-angels","Choir of Musical Angels"
"Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan)",1595,"../img/scale/brueghel/3033.jpg","/janbrueghel/christ-in-the-storm-christ-and-apostles-on-the-lake-of-tiberius-milan","Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan)"
"Coastal Landscape with Temple of Vesta",1595,"../img/scale/brueghel/3042.jpg","/janbrueghel/coastal-landscape-with-temple-of-vesta","Coastal Landscape with Temple of Vesta"
"Hell Scene (Paris)",1595,"../img/scale/brueghel/3265.jpg","/janbrueghel/hell-scene-paris","Hell Scene (Paris)"
"Landscape with Cistern (Milan)",1595,"../img/scale/brueghel/3311.jpg","/janbrueghel/landscape-with-cistern-milan","Landscape with Cistern (Milan)"
"Landscape with Hermit: St. Fulgentius (Vienna)",1595,"../img/scale/brueghel/3314.jpg","/janbrueghel/landscape-with-hermit-st-fulgentius-vienna","Landscape with Hermit: St. Fulgentius (Vienna)"
"Landscape with Hermit and Gypsies (Milan)",1595,"../img/scale/brueghel/3316.jpg","/janbrueghel/landscape-with-hermit-and-gypsies-milan","Landscape with Hermit and Gypsies (Milan)"
"Landscape with Hermit on the Right (Milan)",1595,"../img/scale/brueghel/3317.jpg","/janbrueghel/landscape-with-hermit-on-the-right-milan","Landscape with Hermit on the Right (Milan)"
"Lot and His Daughters before Sodom (Munich)",1595,"../img/scale/brueghel/3347.jpg","/janbrueghel/lot-and-his-daughters-before-sodom-munich","Lot and His Daughters before Sodom (Munich)"
"Mountain Landscape with Flight into Egypt",1595,"../img/scale/brueghel/3373.jpg","/janbrueghel/mountain-landscape-with-flight-into-egypt","Mountain Landscape with Flight into Egypt"
"Mountain Landscape with Rest on the Flight into Egypt (Switzerland)",1595,"../img/scale/brueghel/3375.jpg","/janbrueghel/mountain-landscape-with-rest-on-the-flight-into-egypt-switzerland","Mountain Landscape with Rest on the Flight into Egypt (Switzerland)"
"Mountain Landscape with Tivoli Temple and Gypsies",1595,"../img/scale/brueghel/3377.jpg","/janbrueghel/mountain-landscape-with-tivoli-temple-and-gypsies","Mountain Landscape with Tivoli Temple and Gypsies"
"Outdoor Wedding Party (Antwerp)",1595,"../img/scale/brueghel/3407.jpg","/janbrueghel/outdoor-wedding-party-antwerp","Outdoor Wedding Party (Antwerp)"
"Perseus and Andromeda",1595,"../img/scale/brueghel/3438.jpg","/janbrueghel/perseus-and-andromeda","Perseus and Andromeda"
"Rest on the Flight into Egypt (The Hague)",1595,"../img/scale/brueghel/3457.jpg","/janbrueghel/rest-on-the-flight-into-egypt-the-hague","Rest on the Flight into Egypt (The Hague)"
"Rest on the Flight into Egypt (Vienna)",1595,"../img/scale/brueghel/3458.jpg","/janbrueghel/rest-on-the-flight-into-egypt-vienna","Rest on the Flight into Egypt (Vienna)"
"Rest on the Flight into Egypt with Tivoli Temple (Germany)",1595,"../img/scale/brueghel/3459.jpg","/janbrueghel/rest-on-the-flight-into-egypt-with-tivoli-temple-germany","Rest on the Flight into Egypt with Tivoli Temple (Germany)"
"River Landscape with Bathers (New York)",1595,"../img/scale/brueghel/3470.jpg","/janbrueghel/river-landscape-with-bathers-new-york","River Landscape with Bathers (New York)"
"River Landscape with Bathers and Sailboats",1595,"../img/scale/brueghel/3471.jpg","/janbrueghel/river-landscape-with-bathers-and-sailboats","River Landscape with Bathers and Sailboats"
"Saint Jerome in a Landscape",1595,"../img/scale/brueghel/3539.jpg","/janbrueghel/saint-jerome-in-a-landscape","Saint Jerome in a Landscape"
"St. Jerome in a Mountainous Landscape (Belgium)",1595,"../img/scale/brueghel/3565.jpg","/janbrueghel/st-jerome-in-a-mountainous-landscape-belgium","St. Jerome in a Mountainous Landscape (Belgium)"
"Venus as Ceres with Apollo",1595,"../img/scale/brueghel/3688.jpg","/janbrueghel/venus-as-ceres-with-apollo","Venus as Ceres with Apollo"
"Allegory: The Dream of Raphael (Circe & Ulysses)",1595,"../img/scale/brueghel/3790.jpg","/janbrueghel/allegory-the-dream-of-raphael-circe-ulysses","Allegory: The Dream of Raphael (Circe & Ulysses)"
"Coastal Landscape with Sacrifice of Jonah (London)",1595,"../img/scale/brueghel/3806.jpg","/janbrueghel/coastal-landscape-with-sacrifice-of-jonah-london","Coastal Landscape with Sacrifice of Jonah (London)"
"Temptation of St. Anthony in a Forest (Italy)",1595,"../img/scale/brueghel/3853.jpg","/janbrueghel/temptation-of-st-anthony-in-a-forest-italy","Temptation of St. Anthony in a Forest (Italy)"
"River Landscape with City",1595,"../img/scale/brueghel/9663.jpg","/janbrueghel/river-landscape-with-city","River Landscape with City"
"View of the Tiber with the Ponte Sisto and Saint Peter’s in the Distance",1595,"../img/scale/brueghel/9750.jpg","/janbrueghel/view-of-the-tiber-with-the-ponte-sisto-and-saint-peters-in-the-distance","View of the Tiber with the Ponte Sisto and Saint Peter’s in the Distance"
"Christ and the Apostles in the Tempest on the Sea of Galilee (Madrid)",1596,"../img/scale/brueghel/3028.jpg","/janbrueghel/christ-and-the-apostles-in-the-tempest-on-the-sea-of-galilee-madrid","Christ and the Apostles in the Tempest on the Sea of Galilee (Madrid)"
"Departure of St. Paul from Caesarea",1596,"../img/scale/brueghel/3068.jpg","/janbrueghel/departure-of-st-paul-from-caesarea","Departure of St. Paul from Caesarea"
"Juno in the Underworld",1596,"../img/scale/brueghel/18631.jpg","/janbrueghel/juno-in-the-underworld","Juno in the Underworld"
"Mountain Landscape with a Hermit Reading in front of Ruins (St. Anthony)",1596,"../img/scale/brueghel/3378.jpg","/janbrueghel/mountain-landscape-with-a-hermit-reading-in-front-of-ruins-st-anthony","Mountain Landscape with a Hermit Reading in front of Ruins (St. Anthony)"
"The Crucifixion (Vienna)",1596,"../img/scale/brueghel/3621.jpg","/janbrueghel/the-crucifixion-vienna","The Crucifixion (Vienna)"
"The Harvest: Allegory of Summer",1596,"../img/scale/brueghel/3627.jpg","/janbrueghel/the-harvest-allegory-of-summer","The Harvest: Allegory of Summer"
"Rest on the Flight into Egypt",1596,"../img/scale/brueghel/9569.jpg","/janbrueghel/rest-on-the-flight-into-egypt","Rest on the Flight into Egypt"
"Mountain Landscape with a Harbor City",1596,"../img/scale/brueghel/9805.jpg","/janbrueghel/mountain-landscape-with-a-harbor-city","Mountain Landscape with a Harbor City"
"Bacchanal with Silenus",1597,"../img/scale/brueghel/2957.jpg","/janbrueghel/bacchanal-with-silenus","Bacchanal with Silenus"
"Baptism of Christ (Munich)",1597,"../img/scale/brueghel/2963.jpg","/janbrueghel/baptism-of-christ-munich","Baptism of Christ (Munich)"
"Christ and the Adulterous Woman (Munich)",1597,"../img/scale/brueghel/3026.jpg","/janbrueghel/christ-and-the-adulterous-woman-munich","Christ and the Adulterous Woman (Munich)"
"Christ and the Adulterous Woman (Private Collection)",1597,"../img/scale/brueghel/3027.jpg","/janbrueghel/christ-and-the-adulterous-woman-private-collection","Christ and the Adulterous Woman (Private Collection)"
"Christ in Limbo (The Hague)",1597,"../img/scale/brueghel/3032.jpg","/janbrueghel/christ-in-limbo-the-hague","Christ in Limbo (The Hague)"
"Fall of Man (Munich)",1597,"../img/scale/brueghel/3096.jpg","/janbrueghel/fall-of-man-munich","Fall of Man (Munich)"
"Landscape with Hermit (St. Fulgentius?) (Milan)",1597,"../img/scale/brueghel/3315.jpg","/janbrueghel/landscape-with-hermit-st-fulgentius-milan","Landscape with Hermit (St. Fulgentius?) (Milan)"
"Mountain Landscape with Hermits (London)",1597,"../img/scale/brueghel/3374.jpg","/janbrueghel/mountain-landscape-with-hermits-london","Mountain Landscape with Hermits (London)"
"Outdoor Wedding (England)",1597,"../img/scale/brueghel/3405.jpg","/janbrueghel/outdoor-wedding-england","Outdoor Wedding (England)"
"Outdoor Wedding Dance (Bordeaux)",1597,"../img/scale/brueghel/3406.jpg","/janbrueghel/outdoor-wedding-dance-bordeaux","Outdoor Wedding Dance (Bordeaux)"
"Visit to the Tenants",1597,"../img/scale/brueghel/3747.jpg","/janbrueghel/visit-to-the-tenants","Visit to the Tenants"
"The Triumph of Death",1597,"../img/scale/brueghel/3863.jpg","/janbrueghel/the-triumph-of-death","The Triumph of Death"
"Adoration of the Magi (St. Petersburg)",1598,"../img/scale/brueghel/2882.jpg","/janbrueghel/adoration-of-the-magi-st-petersburg","Adoration of the Magi (St. Petersburg)"
"Battle of the Amazons (Potsdam)",1598,"../img/scale/brueghel/2972.jpg","/janbrueghel/battle-of-the-amazons-potsdam","Battle of the Amazons (Potsdam)"
"Calvary (Munich)",1598,"../img/scale/brueghel/3014.jpg","/janbrueghel/calvary-munich","Calvary (Munich)"
"Preaching of John the Baptist (Basel)",1598,"../img/scale/brueghel/3441.jpg","/janbrueghel/preaching-of-john-the-baptist-basel","Preaching of John the Baptist (Basel)"
"Preaching of John the Baptist (Los Angeles)",1598,"../img/scale/brueghel/3443.jpg","/janbrueghel/preaching-of-john-the-baptist-los-angeles","Preaching of John the Baptist (Los Angeles)"
"Preaching of John the Baptist (Munich)",1598,"../img/scale/brueghel/3444.jpg","/janbrueghel/preaching-of-john-the-baptist-munich","Preaching of John the Baptist (Munich)"
"Sea Harbor with Preaching of Christ (Munich)",1598,"../img/scale/brueghel/3542.jpg","/janbrueghel/sea-harbor-with-preaching-of-christ-munich","Sea Harbor with Preaching of Christ (Munich)"
"Forest Landscape with Sacrifice of Isaac (Tokyo)",1599,"../img/scale/brueghel/3210.jpg","/janbrueghel/forest-landscape-with-sacrifice-of-isaac-tokyo","Forest Landscape with Sacrifice of Isaac (Tokyo)"
"Two Dutch Battle Ships",1599,"../img/scale/brueghel/3674.jpg","/janbrueghel/two-dutch-battle-ships","Two Dutch Battle Ships"
"The Contest of Apollo and Marsyas (Judgment of Midas)",1599,"../img/scale/brueghel/3855.jpg","/janbrueghel/the-contest-of-apollo-and-marsyas-judgment-of-midas","The Contest of Apollo and Marsyas (Judgment of Midas)"
"View of the Septizonium Severi, Rome, and the Entry to S. Gregorio Magno",1599,"../img/scale/brueghel/9649.jpg","/janbrueghel/view-of-the-septizonium-severi-rome-and-the-entry-to-s-gregorio-magno","View of the Septizonium Severi, Rome, and the Entry to S. Gregorio Magno"
"The Forum Boarium and S. Maria in Cosmedin, Rome",1599,"../img/scale/brueghel/9650.jpg","/janbrueghel/the-forum-boarium-and-s-maria-in-cosmedin-rome","The Forum Boarium and S. Maria in Cosmedin, Rome"
"Rome: View of the Forum, with Columns of the Temple of Castor and Pollux",1599,"../img/scale/brueghel/9653.jpg","/janbrueghel/rome-view-of-the-forum-with-columns-of-the-temple-of-castor-and-pollux","Rome: View of the Forum, with Columns of the Temple of Castor and Pollux"
"Christ and Apostles Resting on Hill Outside Jerusalem (Florence)",1600,"../img/scale/brueghel/3025.jpg","/janbrueghel/christ-and-apostles-resting-on-hill-outside-jerusalem-florence","Christ and Apostles Resting on Hill Outside Jerusalem (Florence)"
"Christ in Limbo (Aschaffenburg)",1600,"../img/scale/brueghel/3029.jpg","/janbrueghel/christ-in-limbo-aschaffenburg","Christ in Limbo (Aschaffenburg)"
"Coastal Landscape with Temple of Vesta (Choiseul)",1600,"../img/scale/brueghel/3043.jpg","/janbrueghel/coastal-landscape-with-temple-of-vesta-choiseul","Coastal Landscape with Temple of Vesta (Choiseul)"
"Coastal Landscape with Temple of Vesta (London)",1600,"../img/scale/brueghel/3044.jpg","/janbrueghel/coastal-landscape-with-temple-of-vesta-london","Coastal Landscape with Temple of Vesta (London)"
"Crucified Christ before Jerusalem/Crucifixion",1600,"../img/scale/brueghel/3059.jpg","/janbrueghel/crucified-christ-before-jerusalem-crucifixion","Crucified Christ before Jerusalem/Crucifixion"
"Forest Landscape with Castle",1600,"../img/scale/brueghel/3188.jpg","/janbrueghel/forest-landscape-with-castle","Forest Landscape with Castle"
"Forest Landscape with Duck Hunter",1600,"../img/scale/brueghel/3192.jpg","/janbrueghel/forest-landscape-with-duck-hunter","Forest Landscape with Duck Hunter"
"Forest Landscape with Wanderers",1600,"../img/scale/brueghel/3215.jpg","/janbrueghel/forest-landscape-with-wanderers","Forest Landscape with Wanderers"
"Landscape with Young Tobias",1600,"../img/scale/brueghel/3336.jpg","/janbrueghel/landscape-with-young-tobias","Landscape with Young Tobias"
"Marriage of Neptune and Amphitrite: Feast of the Gods",1600,"../img/scale/brueghel/3359.jpg","/janbrueghel/marriage-of-neptune-and-amphitrite-feast-of-the-gods","Marriage of Neptune and Amphitrite: Feast of the Gods"
"Marriage of Neptune and Amphitrite: Feast of the Gods by the Sea",1600,"../img/scale/brueghel/3360.jpg","/janbrueghel/marriage-of-neptune-and-amphitrite-feast-of-the-gods-by-the-sea","Marriage of Neptune and Amphitrite: Feast of the Gods by the Sea"
"Orpheus Playing for the Animals",1600,"../img/scale/brueghel/3396.jpg","/janbrueghel/orpheus-playing-for-the-animals","Orpheus Playing for the Animals"
"Putti Dancing and Making Music",1600,"../img/scale/brueghel/3446.jpg","/janbrueghel/putti-dancing-and-making-music","Putti Dancing and Making Music"
"Rest on the Flight into Egypt (Glasgow)",1600,"../img/scale/brueghel/3451.jpg","/janbrueghel/rest-on-the-flight-into-egypt-glasgow","Rest on the Flight into Egypt (Glasgow)"
"Rest on the Flight into Egypt (Munich)",1600,"../img/scale/brueghel/3453.jpg","/janbrueghel/rest-on-the-flight-into-egypt-munich","Rest on the Flight into Egypt (Munich)"
"River Landscape with Bathers (London)",1600,"../img/scale/brueghel/3469.jpg","/janbrueghel/river-landscape-with-bathers-london","River Landscape with Bathers (London)"
"Rocky Coastal Landscape with Fishmongers",1600,"../img/scale/brueghel/3519.jpg","/janbrueghel/rocky-coastal-landscape-with-fishmongers","Rocky Coastal Landscape with Fishmongers"
"Rocky Landscape",1600,"../img/scale/brueghel/3520.jpg","/janbrueghel/rocky-landscape","Rocky Landscape"
"Sacrifice of Isaac (Geneva)",1600,"../img/scale/brueghel/3533.jpg","/janbrueghel/sacrifice-of-isaac-geneva","Sacrifice of Isaac (Geneva)"
"The Bird Trap",1600,"../img/scale/brueghel/3613.jpg","/janbrueghel/the-bird-trap","The Bird Trap"
"The City in the Valley",1600,"../img/scale/brueghel/3617.jpg","/janbrueghel/the-city-in-the-valley","The City in the Valley"
"The Continence of Scipio",1600,"../img/scale/brueghel/3619.jpg","/janbrueghel/the-continence-of-scipio","The Continence of Scipio"
"The Conversion of Saul",1600,"../img/scale/brueghel/3620.jpg","/janbrueghel/the-conversion-of-saul","The Conversion of Saul"
"The Golden Age",1600,"../img/scale/brueghel/3626.jpg","/janbrueghel/the-golden-age","The Golden Age"
"Venetian Harbor Scene",1600,"../img/scale/brueghel/3676.jpg","/janbrueghel/venetian-harbor-scene","Venetian Harbor Scene"
"Venus and Adonis in a Forest Landscape",1600,"../img/scale/brueghel/3681.jpg","/janbrueghel/venus-and-adonis-in-a-forest-landscape","Venus and Adonis in a Forest Landscape"
"Venus and Amor as Allegory of Abundance",1600,"../img/scale/brueghel/3684.jpg","/janbrueghel/venus-and-amor-as-allegory-of-abundance","Venus and Amor as Allegory of Abundance"
"View of Tivoli",1600,"../img/scale/brueghel/3699.jpg","/janbrueghel/view-of-tivoli","View of Tivoli"
"Village Scene (Amsterdam)",1600,"../img/scale/brueghel/3723.jpg","/janbrueghel/village-scene-amsterdam","Village Scene (Amsterdam)"
"Village by a River",1600,"../img/scale/brueghel/3738.jpg","/janbrueghel/village-by-a-river","Village by a River"
"Wooded Landscape with Houses and Walkers",1600,"../img/scale/brueghel/3778.jpg","/janbrueghel/wooded-landscape-with-houses-and-walkers","Wooded Landscape with Houses and Walkers"
"Rocky Landscape with Flight into Egypt (New York)",1600,"../img/scale/brueghel/3848.jpg","/janbrueghel/rocky-landscape-with-flight-into-egypt-new-york","Rocky Landscape with Flight into Egypt (New York)"
"Village Street with Carts and Horses",1600,"../img/scale/brueghel/3870.jpg","/janbrueghel/village-street-with-carts-and-horses","Village Street with Carts and Horses"
"River landscape with a ferry and windmill",1600,"../img/scale/brueghel/9564.jpg","/janbrueghel/river-landscape-with-a-ferry-and-windmill","River landscape with a ferry and windmill"
"Path over a Valley",1600,"../img/scale/brueghel/9566.jpg","/janbrueghel/path-over-a-valley","Path over a Valley"
"Coastal landscape with a windmill",1600,"../img/scale/brueghel/9574.jpg","/janbrueghel/coastal-landscape-with-a-windmill","Coastal landscape with a windmill"
"River Landscape with Fishing Boats",1600,"../img/scale/brueghel/9664.jpg","/janbrueghel/river-landscape-with-fishing-boats","River Landscape with Fishing Boats"
"The Temptation of Saint Anthony",1600,"../img/scale/brueghel/9689.jpg","/janbrueghel/the-temptation-of-saint-anthony","The Temptation of Saint Anthony"
"Entrance to Village with Windmill",1601,"../img/scale/brueghel/3090.jpg","/janbrueghel/entrance-to-village-with-windmill","Entrance to Village with Windmill"
"Last Judgement",1601,"../img/scale/brueghel/3342.jpg","/janbrueghel/last-judgement","Last Judgement"
"Latona and the Lycian Farmers",1601,"../img/scale/brueghel/3344.jpg","/janbrueghel/latona-and-the-lycian-farmers","Latona and the Lycian Farmers"
"Latona and the Lycian Farmers (London)",1601,"../img/scale/brueghel/3346.jpg","/janbrueghel/latona-and-the-lycian-farmers-london","Latona and the Lycian Farmers (London)"
"Orpheus Playing for the Animals (Ipswich)",1601,"../img/scale/brueghel/3397.jpg","/janbrueghel/orpheus-playing-for-the-animals-ipswich","Orpheus Playing for the Animals (Ipswich)"
"Temptation of St. Anthony (Munich)",1601,"../img/scale/brueghel/3604.jpg","/janbrueghel/temptation-of-st-anthony-munich","Temptation of St. Anthony (Munich)"
"Battle of the Israelites and the Amalekites",1602,"../img/scale/brueghel/2974.jpg","/janbrueghel/battle-of-the-israelites-and-the-amalekites","Battle of the Israelites and the Amalekites"
"Mass in a Grotto (Milan)",1602,"../img/scale/brueghel/3367.jpg","/janbrueghel/mass-in-a-grotto-milan","Mass in a Grotto (Milan)"
"River Landscape with Travelers on a Road",1602,"../img/scale/brueghel/3490.jpg","/janbrueghel/river-landscape-with-travelers-on-a-road","River Landscape with Travelers on a Road"
"River Landscape with Travelers on a Road (Munich)",1602,"../img/scale/brueghel/3491.jpg","/janbrueghel/river-landscape-with-travelers-on-a-road-munich","River Landscape with Travelers on a Road (Munich)"
"The Battle of Issus",1602,"../img/scale/brueghel/3612.jpg","/janbrueghel/the-battle-of-issus","The Battle of Issus"
"Tower of Babel (Antwerp)",1602,"../img/scale/brueghel/3659.jpg","/janbrueghel/tower-of-babel-antwerp","Tower of Babel (Antwerp)"
"Village Canal",1602,"../img/scale/brueghel/3707.jpg","/janbrueghel/village-canal","Village Canal"
"View of the Interior of the Colosseum in Rome",1602,"../img/scale/brueghel/9701.jpg","/janbrueghel/view-of-the-interior-of-the-colosseum-in-rome","View of the Interior of the Colosseum in Rome"
"Sketches of Carts and Horses",1602,"../img/scale/brueghel/9728.jpg","/janbrueghel/sketches-of-carts-and-horses","Sketches of Carts and Horses"
"Village with Canal",1602,"../img/scale/brueghel/9786.jpg","/janbrueghel/village-with-canal","Village with Canal"
"Country Road with Halt of a Convoy",1603,"../img/scale/brueghel/3053.jpg","/janbrueghel/country-road-with-halt-of-a-convoy","Country Road with Halt of a Convoy"
"Large Fish Market with Self Portrait",1603,"../img/scale/brueghel/3341.jpg","/janbrueghel/large-fish-market-with-self-portrait","Large Fish Market with Self Portrait"
"River Landscape with Landing Stage (Antwerp)",1603,"../img/scale/brueghel/3477.jpg","/janbrueghel/river-landscape-with-landing-stage-antwerp","River Landscape with Landing Stage (Antwerp)"
"River Landscape with Landing Stage (Berlin)",1603,"../img/scale/brueghel/3478.jpg","/janbrueghel/river-landscape-with-landing-stage-berlin","River Landscape with Landing Stage (Berlin)"
"River Landscape with Landing Stage (Germany)",1603,"../img/scale/brueghel/3479.jpg","/janbrueghel/river-landscape-with-landing-stage-germany","River Landscape with Landing Stage (Germany)"
"River Landscape with Landing Stage (Turin)",1603,"../img/scale/brueghel/3481.jpg","/janbrueghel/river-landscape-with-landing-stage-turin","River Landscape with Landing Stage (Turin)"
"Road to Market",1603,"../img/scale/brueghel/3511.jpg","/janbrueghel/road-to-market","Road to Market"
"Sailboats on a Canal",1603,"../img/scale/brueghel/3536.jpg","/janbrueghel/sailboats-on-a-canal","Sailboats on a Canal"
"Temptation of St. Anthony (Vienna)",1603,"../img/scale/brueghel/3606.jpg","/janbrueghel/temptation-of-st-anthony-vienna","Temptation of St. Anthony (Vienna)"
"View Down a River through a Village",1603,"../img/scale/brueghel/3689.jpg","/janbrueghel/view-down-a-river-through-a-village","View Down a River through a Village"
"Village Scene with a Forge",1603,"../img/scale/brueghel/3724.jpg","/janbrueghel/village-scene-with-a-forge","Village Scene with a Forge"
"Tree on an Outcrop with Group of Gypsies",1603,"../img/scale/brueghel/9832.jpg","/janbrueghel/tree-on-an-outcrop-with-group-of-gypsies","Tree on an Outcrop with Group of Gypsies"
"Allegory of the Four Elements (Vienna)",1604,"../img/scale/brueghel/2943.jpg","/janbrueghel/allegory-of-the-four-elements-vienna","Allegory of the Four Elements (Vienna)"
