"Full Image Title","Date","Onsite Image URL","Object Page URL","Shortened Title with Date"
"Dance on a Village Street",1600,"../img/scale/janbrueghel/1600_Dance_on_a_Village_Street.png","../janbrueghel/dance-on-a-village-street","Dance on a Village Street (1600)"
"The Battle of Issus",1602,"../img/scale/janbrueghel/1602_The_Battle_of_Issus.png","../janbrueghel/the-battle-of-issus","The Battle of Issus (1602)"
"Bouquet in a Glass Vase (Amsterdam)",1602,"../img/scale/janbrueghel/1602_Bouquet_in_a_Glass_Vase_Amsterdam.png","../janbrueghel/bouquet-in-a-glass-vase-amsterdam","Bouquet in a Glass Vase (1602)"
"Large Fish Market with Self-Portrait",1603,"../img/scale/janbrueghel/1603_Large_Fish_Market_with_Self-Portrait.png","../janbrueghel/large-fish-market-with-self-portrait","Fish Market with Self-Portrait (1603)"
"Way to Market",1604,"../img/scale/janbrueghel/1604_Way_to_Market.png","../janbrueghel/way-to-market","Way to Market (1604)"
"Allegory of the Four Elements (Vienna)",1604,"../img/scale/janbrueghel/1604_Allegory_of_the_Four_Elements_Vienna.png","../janbrueghel/allegory-of-the-four-elements-vienna","Allegory of the Four Elements (1604)"
"Calvary (Florence)",1604,"../img/scale/janbrueghel/1604_Calvary_Florence.png","../janbrueghel/calvary-florence","Calvary (1604)"
"Road Through a Wood",1605,"../img/scale/janbrueghel/1605_Road_Through_a_Wood.png","../janbrueghel/road-through-a-wood","Road Through a Wood (1605)"
"Winter Landscape with Angels Strewing Flowers",1605,"../img/scale/janbrueghel/1605_Winter_Landscape_with_Angels_Strewing_Flowers.png","../janbrueghel/winter-landscape-with-angels-strewing-flowers","Winter Landscape with Angels (1605)"
"Forest Landscape (Vienna)",1605,"../img/scale/janbrueghel/1605_Forest_Landscape_Vienna.png","../janbrueghel/forest-landscape-vienna","Forest Landscape (1605)"
"Mouse Rose and Butterfly (Milan)",1605,"../img/scale/janbrueghel/1605_Mouse_Rose_and_Butterfly_Milan.png","../janbrueghel/mouse-rose-and-butterfly-milan","Mouse. Rose. and Butterfly (1605)"
"Air: The Rape of Ganymede",1606,"../img/scale/janbrueghel/1606_Rape_of_Ganymede.png","../janbrueghel/air-the-rape-of-ganymede","Rape of Ganymede (1606)"
"Flowers in a Vase with Jewels Coins and Shells (Milan)",1606,"../img/scale/janbrueghel/1606_Flowers_in_a_Vase_with_Jewels_Coins_and_Shells_Milan.png","../janbrueghel/flowers-in-a-vase-with-jewels-coins-and-shells-milan","Flowesr in a Vase (1606)"
"River Landscape with Landing Stage (Washington)",1607,"../img/scale/janbrueghel/1607_River_Landscape_with_Landing_Stage_Washington.png","../janbrueghel/river-landscape-with-landing-stage-washington","River Landscape with Landing Stage (1607)"
"Forest Landscape with Woodcutters (Flight into Egypt) (St. Petersburg)",1607,"../img/scale/janbrueghel/1607_Forest_Landscape_with_Woodcutters.png","../janbrueghel/forest-landscape-with-woodcutters-flight-into-egypt-st-petersburg","Forest Landscape with Woodcutters (1607)"
"Broad Landscape with Windmills",1607,"../img/scale/janbrueghel/1607_Broad_Landscape_with_Windmills.png","../janbrueghel/broad-landscape-with-windmills","Landscape with Windmills (1607)"
"Flower Garland Around the Virgin and Child (Milan)",1607,"../img/scale/janbrueghel/1607_Flower_Garland_Around_Virgin_and_Child_.png","../janbrueghel/flower-garland-around-the-virgin-and-child-milan","Flower Garland Around Virgin and Child (1607)"
"Feast of the Gods (Marriage of Peleus and Thetis)",1608,"../img/scale/janbrueghel/1608_Feast_of_the_Gods_Marriage_of_Peleus_and_Thetis.png","../janbrueghel/feast-of-the-gods-marriage-of-peleus-thetis","Feast of the Gods (1608)"
"Landscape with Travelers Near an Inn",1609,"../img/scale/janbrueghel/1609_Landscape_with_Travelers_Near_an_Inn_.png","../janbrueghel/landscape-with-travelers-near-an-inn","Landscape with Travelers Near an Inn (1609)"
"Allegory of Water (Lyon)",1610,"../img/scale/janbrueghel/1610_Allegory_of_Water_Lyon.png","../janbrueghel/allegory-of-water-lyon","Allegory of Water (1610)"
"Bridge of Talavera",1610,"../img/scale/janbrueghel/1610_Bridge_of_Talavera.png","../janbrueghel/bridge-of-talavera","Bridge of Talavera (1610)"
"The Return From War: Mars Disarmed by Venus",1610,"../img/scale/janbrueghel/1610_Mars_Disarmed_by_Venus.png","../janbrueghel/the-return-from-war-mars-disarmed-by-venus","Mars Disarmed by Venus (1610)"
"Flowers in a Wooden Tub (Vienna)",1611,"../img/scale/janbrueghel/1611_Flowers_in_a_Wooden_Tub.png","../janbrueghel/flowers-in-a-wooden-tub-vienna","Flowers in a Wooden Tub (1611)"
"Albert and Isabella Before Mariemont Castle",1611,"../img/scale/janbrueghel/1611_Albert_and_Isabella_Before_Mariemont_Castle.png","../janbrueghel/albert-and-isabella-before-mariemont-castle","Albert and Isabella Before Mariemont (1611)"
"Peasant Wedding Banquet with the Archdukes",1612,"../img/scale/janbrueghel/1612_Peasant_Wedding_Banquet_with_Archdukes.png","../janbrueghel/peasant-wedding-banquet-with-the-archdukes-madrid","Peasant Wedding Banquet (1612)"
"Attack on a Convoy",1612,"../img/scale/janbrueghel/1612_Attack_on_a_Convoy.png","../janbrueghel/attack-on-a-convoy-vienna","Attack on a Convoy (1612)"
"Paradise Landscape with Noah's Ark (Los Angeles J. Paul Getty Museum)",1613,"../img/scale/janbrueghel/1613_Paradise_Landscape_with_Noah_s_Ark_.png","../janbrueghel/paradise-landscape-with-noahs-ark-los-angeles-j-paul-getty-museum","Paradise Landscape with Ark (1613)"
"Village Kermis in Schelle With Self Portrait",1614,"../img/scale/janbrueghel/1614_Village_Kermis_in_Schelle_with_Self_Portrait_.png","../janbrueghel/village-kermis-in-schelle-with-self-portrait","Village Kermis in Schelle (1614)"
"Autumn (Braunschweig)",1615,"../img/scale/janbrueghel/1615_Autumn_.png","../janbrueghel/autumn-braunschweig","Autumn (1615)"
"Interior of a Gothic Church Looking East (London 2204)",1615,"../img/scale/janbrueghel/1615_Interior_of_a_Gothic_Church.png","../janbrueghel/interior-of-a-gothic-church-looking-east-london-2204","Interior of a Gothic Church (1615)"
"Banquet of Achelous",1615,"../img/scale/janbrueghel/1615_Banquet_of_Achelous_.png","../janbrueghel/the-banquet-of-achelous","Banquet of Achelous (1615)"
"Allegory of Winter (Neuburg an der Donau)",1616,"../img/scale/janbrueghel/1616_Allegory_of_Winter.png","../janbrueghel/allegory-of-winter-neuburg-an-der-donau","Allegory of Winter (1616)"
"The Sense of Sight",1617,"../img/scale/janbrueghel/1617_The_Sense_of_Sight.png","../janbrueghel/the-sense-of-sight","Sense of Sight (1617)"
"Madonna and Child in a Garland with Putti",1617,"../img/scale/janbrueghel/1617_Madonna_and_Child_in_a_Garland_.png","../janbrueghel/madonna-and-child-in-a-flower-garland-with-putti-munich","Madonna and Child in a Garland (1617)"
"Fruit Garland with Offering to Ceres",1618,"../img/scale/janbrueghel/1618_Fruit_Garland_with_Offering.png","../janbrueghel/fruit-garland-with-offering-to-ceres-madrid","Fruit Garland with Offering (1618)"
"Tazza with Wreath of Flowers and Box of Jewels and Coins (Brussels)",1618,"../img/scale/janbrueghel/1618_Tazza_with_Wreath_of_Flowers_and_Box_of_Jewels_and_Coins.png","../janbrueghel/tazza-with-wreath-of-flowers-and-box-of-jewels-and-coins-brussels","Tazza with Wreath and Jewels (1618)"
"Allegory of Sight and Smell",1620,"../img/scale/janbrueghel/1620_Allegory_of_Sight_and_Smell_.png","../janbrueghel/allegory-of-sight-and-smell","Allegory of Sight and Smell (1620)"
"Market and Bleaching Ground",1620,"../img/scale/janbrueghel/1620_Market_and_Bleaching_Ground.png","../janbrueghel/market-and-bleaching-ground","Market and Bleaching Ground (1620)"
"Allegory of Air (Paris)",1621,"../img/scale/janbrueghel/1621_Allegory_of_Air.png","../janbrueghel/allegory-of-air-paris","Allegory of Air (1621)"
"Broad Landscape with Dairy Farming",1621,"../img/scale/janbrueghel/1621_Landscape_with_Dairy_Farming.png","../janbrueghel/broad-landscape-with-dairy-farming","Landscape with Dairy Farming (1621)"
"Virgin and Child in a Flower Garland (Paris)",1621,"../img/scale/janbrueghel/1621_Virgin_and_Child_in_a_Flower_Garland.png","../janbrueghel/virgin-and-child-in-a-flower-garland-paris","Virgin and Child in a Garland (1621)"
"Diana's Nymphs after the Hunt",1621,"../img/scale/janbrueghel/1621_Diana_s_Nymphs_After_the_Hunt_.png","../janbrueghel/dianas-nymphs-after-the-hunt","Diana's Nymphs after the Hunt (1621)"
"Peasant Wedding Feast (Madrid)",1623,"../img/scale/janbrueghel/1623_Peasant_Wedding_Feast.png","../janbrueghel/peasant-wedding-feast-madrid","Peasant Wedding Feast (1623)"
